send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-05-29,2025-05-27,24-34183,II,2025,JL Alamsyah Ratu Prawira Negara,Kota Metro,DODO,SBM Lampung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.2,100.00,100.00,98.87,92.50,41.73,Pasti Pas Good,,"Rompi Khusus, NFR"
2025-05-29,2025-05-27,14-292645,I,2025,"Jl. Lintas Timur-Jambi, Kec. Selensen, Kab. Inhil",Kab Indragiri Hilir,,SBM Riau III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.96,96.67,93.06,93.60,92.00,51.21,Pasti Pas Good,,NFR
2025-05-29,2025-05-27,44-57708,IV,2025,"Jl. Ringroad Utara, Sroyo, Jaten",Kab Karanganyar,DODO,SBM Yogyakarta IV Fuel,TAGE1,TAGE2,CERTIFIED,CERTIFIED,91.19,96.67,94.77,85.35,97.00,69.90,Pasti Pas Good,,
2025-05-29,2025-05-27,43-55715,IV,2025,"Jl. Samas Km. 1 Palbapang, Bantul",Kab Bantul,,SBM Yogyakarta I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.33,99.33,89.41,96.40,100.00,64.31,Pasti Pas Good,,NFR
2025-05-28,2025-05-27,34-12208,III,2025,Jl. Ciputat Raya,Kota Jakarta Selatan,DODO,SBM Jabode III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,96.76,97.33,100.00,95.99,100.00,83.50,Pasti Pas Excellent,,
2025-05-29,2025-05-27,14-264568,I,2025,Jl. Raya Padang - Bukittinggi Ds. Batagak,Kab Agam,DODO,SBM Sumatera Barat I Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,81.58,73.00,97.26,80.20,96.00,48.60,Basic,"Masa Berlaku APAR, HP","NFR, Masa Berlaku APAR, HP"
2025-05-29,2025-05-27,44-59527,IV,2025,"Jl. Pemuda No.14 Petengan Selatan, Kel. Bintoro Kec. Demak",Kab Demak,DODO,SBM Semarang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.39,91.67,100.00,95.00,100.00,48.96,Pasti Pas Good,,NFR
2025-05-29,2025-05-27,54-67207,V,2025,Jl. Surabaya - Situbondo Km.136 Desa Sumberanyar Kec. Paiton,Kab. Probolinggo,,SBM Malang II Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,91.38,96.67,100.00,93.10,98.00,39.60,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-27,54-64132,V,2025,Ds. Kanigoro Kec. Kras Kab. Kediri,Kab Kediri,DODO,SBM Kediri I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.96,96.67,100.00,91.02,100.00,47.53,Pasti Pas Good,,"NFR, Produk JBU"
2025-06-20,2025-05-27,54-66307,V,2025,Ds. Nglebeng Kec. Panggul Trenggalek,Kab Trenggalek,DODO,SBM Kediri II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.51,81.00,100.00,85.45,100.00,40.96,Pasti Pas Good,,NFR
2025-05-27,2025-05-27,34-16937,III,2010,Jl. Lewinanggung Depok,Kota Depok,DODO,SBM Jabode III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.88,90.67,100.00,90.00,90.00,84.37,Pasti Pas Good,,"Jalur Fast Track, Produk JBU"
